Tytuł,Miejsce,Powierzchnia,L_pokoi,Pietro,Rok_budowy,Cena
3 pokoje/ gdańsk żabianka/ 8min do plaży,"Gdańsk Żabianka, Szyprów",56.36,3,parter,0,515 000 zł
Gdańsk przymorze/ 2 pokoje/ 7min do plaży,"Gdańsk Przymorze, Obrońców Wybrzeża",46,2,5,0,399 000 zł
57 M2/ gdańsk stogi/ szybki termin wydania/,"Gdańsk Górki Zachodnie, Jodłowa",56.7,3,1,0,440 000 zł
2 pokoje/  47 M2/ gdańsk jasień/,"Gdańsk Jasień, Jabłoniowa",47.2,2,3,0,424 500 zł
Gdańsk oliwa/ szybkie wydanie/ 43 M2/,"Gdańsk Oliwa, Artura Grottgera",42.5,2,1,0,440 000 zł
Dwie bardzo stylowe kawalerki- Wrzeszcz/Strzyża,"Gdańsk Strzyża, Grunwaldzka",35.7,2,parter,0,530 000 zł
Mieszkanie 4 pok z hala garażową,"Gdańsk Morena, Myśliwskie Wzgórze",61.6,3,parter,2015,575 000 zł
Atrakcyjne 4 pokoje  na Chełmie,"Gdańsk Chełm, Stanisława Hebanowskiego",71.32,4,3,2004,689 000 zł
Wyjątkowe dwa pokoje w samym sercu Starego Miasta,"Gdańsk Śródmieście, Grobla I",42,2,4,1968,549 000 zł
Kamienica warszawska 90m2 z garażem w cenie,"Gdańsk Ujeścisko, 51 c",89,3,1,2020,699 000 zł
Kamienica Warszawska z garażem i ogródkiem w cenie,"Gdańsk Ujeścisko, Warszawska 51 c",48,1,parter,2020,428 000 zł
Mieszkanie - Gdańsk Wrzeszcz / Strzyża,Gdańsk Wrzeszcz / Strzyża,98.4,4,3,0,613 000 zł
Okazja! Najtańsze 43m na Przymorzu w niskim bloku!,"Gdańsk Przymorze, Kołobrzeska 55",43,2,4,1970,364 997 zł
Prawdziwa gratka dla miłośników kamienic,"Gdańsk Wrzeszcz, Ludwika Waryńskiego",124,4,1,1904,990 000 zł
Przestronny apartament w  Nadmorskim Dworze,"Gdańsk Brzeźno, Nadmorski Dwór",125.6,4,2,2012,2 508 000 zł
Widok na Bazylikę Mariacką! Śródmieście 3 pokoje!,"Gdańsk Biskupia Górka, Na Stoku",64.64,3,1,0,439 000 zł
Luksusowy apartament z widokiem na Motławę Gdańsk,"Gdańsk Śródmieście, Chmielna",58.07,3,1,2020,1 155 600 zł
Wygodnie mieszkanie w Gdańsku,"Gdańsk Młyniska, Okrąg",66.3,3,1,1950,465 000 zł
2 pokoje na parterze z balkonem! przymorze,"Gdańsk Przymorze, Obrońców Wybrzeża",46,2,parter,1970,385 000 zł
Nowa cena! - kawalerka z ogrodem na bażantowej!,Gdańsk Morena,30.28,1,parter,2015,338 500 zł
Mieszkanie w sercu Gdańska,"Gdańsk Długie Ogrody, Siennicka",41.5,2,parter,1972,350 000 zł
"Stylowy apartament, 2 tarasy, widok na Motławę!","Gdańsk Długie Ogrody, Św. Barbary",120,4,5,2017,1 699 000 zł
Przytulne 2-pokojowe mieszkanie.,"Gdańsk Łostowice, Olimpijska",47.48,2,3,2015,389 000 zł
"Nowoczesne, przestronne i świetnie zlokalizowane!","Gdańsk Przymorze, Piastowska",93,3,1,1958,849 000 zł
Mieszkanie 2-pok. blisko morza z ogródkiem!,"Gdańsk Zaspa, Janusza Meissnera",45,2,parter,1981,399 000 zł
5 POKOI/karczemki/dwa poziomy/od zaraz,"Gdańsk Karczemki, Storczykowa",131,5,3,2002,589 500 zł
3 Pokoje / Balkon / 2 Miejsca w hali / Winda /2009,"Gdańsk Karczemki, Jaśminowy Stok",59,3,3,2009,459 000 zł
2 pokoje/ szybkie wydanie/ gdańsk przymorze,"Gdańsk Przymorze, Darłowska",47,2,parter,0,499 000 zł
Wyjątkowe mieszkanie na Głównym Mieście,"Gdańsk Śródmieście, Złotników",36.36,2,parter,1960,449 000 zł
Wykończone mieszkanie z ogródkiem 2 pokoje 10min od Centrum Gdańska,"Gdańsk Łostowice Ujeścisko , Cedrowa 31",33.17,2,parter,2019,362 387 zł
Zamieszkaj lub zainwestuj.,"Gdańsk Stare Przedmieście, Toruńska",50.3,3,8,1978,429 000 zł
"Nowe, nowoczesne 3-pok. mieszkanie pod klucz Zaspa","Gdańsk Zaspa, Startowa",51,3,3,1980,535 000 zł
Świetna inwestycja 4 pokoje 77 m2 Porębskiego,"Gdańsk Zakoniczyn, Porębskiego",77,4,2,2005,590 000 zł
Dwu-pokojowe mieszkanie blisko morza.,"Gdańsk Przymorze, Piastowska",43,2,4,1950,435 000 zł
Atrakcyjna Lokalizacja. Gdańsk Oliwa 2 pokoje.,"Gdańsk Oliwa, Opacka",44.91,2,2,2019,557 000 zł
"Centrum, 1 Piętro, balkon",Gdańsk Śródmieście,69,3,1,1955,589 000 zł
